,Code,Description
0,A00.0,"Χολέρα από δονάκιο της χολέρας [Vibrio cholerae] 01, βιότυπο  cholerae"
1,A00.1,"Χολέρα από στο δονάκιο της χολέρας [Vibrio cholerae] 01, βιότυπο eltor"
2,A00.9,"Χολέρα, μη καθορισμένη   "
3,A01,Τυφοειδείς και παρατυφοειδείς πυρετοί
4,A01.0,Τυφοειδής πυρετός
5,A01.1,Παρατυφοειδής πυρετός A
6,A01.2,Παρατυφοειδής πυρετός B
7,A01.3,Παρατυφοειδής πυρετός C
8,A01.4,"Παρατυφοειδής πυρετός, μη καθορισμένος   "
9,A02,Άλλες λοιμώξεις από σαλμονέλλα 
10,A02.0,Εντερίτιδα από σαλμονέλλα
11,A02.1,Σηψαιμία από σαλμονέλλα
12,A02.2,Εντοπισμένες λοιμώξεις από σαλμονέλλα
13,A02.8,Άλλες καθορισμένες λοιμώξεις από σαλμονέλλα
14,A02.9,"Λοίμωξη από σαλμονέλλα, μη καθορισμένη"
15,A03,Σιγκέλλωση
16,A03.0,Σιγκέλλωση από σιγκέλλα της δυσεντερίας [Shigella dysenteriae]
17,A03.1,Σιγκέλλωση από Shigella flexneri
18,A03.2,Σιγκέλλωση από Shigella boydii
19,A03.3,Σιγκέλλωση από Shigella sonnei
20,A03.8,Άλλη σιγκέλλωση
21,A03.9,"Σιγκέλλωση, μη καθορισμένη"
22,A04,Άλλες βακτηριακές εντερικές λοιμώξεις
23,A04.0,Εντερίτιδα  από εντεροπαθογόνο κολοβακτηρίδιο [Escherichia coli]
24,A04.1,Εντερίτιδα  από εντεροτοξινογόνο  κολοβακτηρίδιο [Escherichia coli]
25,A04.2,Εντερίτιδα  από εντεροεισβολικό κολοβακτηρίδιο [Escherichia coli]
26,A04.3,Εντερίτιδα  από εντεροαιμορραγικό  κολοβακτηρίδιο [Escherichia coli]
27,A04.4,Άλλες εντερίτιδες  από κολοβακτηρίδια
28,A04.5,Εντερίτιδα  από καμπυλοβακτηρίδιο
29,A04.6,Εντερίτιδα από Yersinia enterecolitica
30,A04.7,Εντεροκολίτιδα από Clostridium difficile
31,A04.8,Άλλες καθορισμένες βακτηριακές εντερικές λοιμώξεις
32,A04.9,Βακτηριακή εντερική λοίμωξη ΜΚΑ
33,A05,"Άλλες βακτηριακές τροφιμογενείς δηλητηριάσεις, που δεν ταξινομούνται αλλού"
34,A05.0,Τροφιμογενής σταφυλοκοκκική δηλητηρίαση 
35,A05.1,Αλλαντίαση
36,A05.2,Τροφιμογενής δηλητηρίαση από Clostridium perfringens [Clostridium welchii]
37,A05.3,Τροφική δηλητηρίαση από Vibrio parahaemolyticus
38,A05.4,Τροφική δηλητηρίαση από Βacillus cereus
39,A05.8,Άλλες καθορισμένες βακτηριακές τροφικές δηλητηριάσεις
40,A05.9,"Βακτηριακή τροφιμογενής δηλητηρίαση, μη καθορισμένη"
41,A06,Αμοιβάδωση
42,A06.0,Οξεία αμοιβαδική δυσεντερία
43,A06.1,Χρόνια εντερική αμοιβάδωση
44,A06.2,Αμοιβαδική μη δυσεντερική κολίτιδα
45,A06.3,Αμοιβάδωμα του εντέρου
46,A06.4,Αμοιβαδικό ηπατικό απόστημα
47,A06.5,Αμοιβαδικό πνευμονικό απόστημα 
48,A06.6,Αμοιβαδικό εγκεφαλικό απόστημα  
49,A06.7,Αμοιβάδωση του δέρματος
50,A06.8,Αμοιβαδική λοίμωξη άλλων εντοπίσεων
51,A06.9,"Αμοιβάδωση, μη καθορισμένη"
52,A07,Άλλες πρωτοζωϊκές λοιμώξεις του εντέρου
53,A07.0,Βαλαντιδίαση
54,A07.1,Τζιαρντίαση [λαμβλίαση]
55,A07.2,Κρυπτοσποριδίωση
56,A07.3,Ισοσπορίαση
57,A07.8,Άλλες καθορισμένες πρωτοζωϊκές εντερικές λοιμώξεις
58,A07.9,"Πρωτοζωϊκή εντερική λοίμωξη, μη καθορισμένη"
59,A08,Ιογενείς και άλλες καθορισμένες εντερικές λοιμώξεις
60,A08.0,Εντερίτιδα απο ροταϊούς
61,A08.1,Οξεία γαστρεντεροπάθεια από παράγοντα Norwalk
62,A08.2,Εντερίτιδα από αδενοϊό
63,A08.3,Άλλη ιογενής εντερίτιδα
64,A08.4,"Ιογενής εντερική λοίμωξη, μη καθορισμένη"
65,A08.5,Άλλες καθορισμένες εντερικές λοιμώξεις
66,A09,Διάρροια και γαστρεντερίτιδα  που θεωρείται λοιμώδους προέλευσης
67,A15,"Φυματίωση του αναπνευστικού συστήματος, βακτηριολογικά και ιστολογικά επιβεβαιωμένη"
68,A15.0,"Φυματίωση του πνεύμονα, επιβεβαιωμένη με μικροσκοπική εξέταση πτυέλων με ή χωρίς καλλιέργεια"
69,A15.1,"Φυματίωση του πνεύμονα, επιβεβαιωμένη μόνο με καλλιέργεια "
70,A15.2,"Φυματίωση του πνεύμονα, επιβεβαιωμένη ιστολογικά "
71,A15.3,"Φυματίωση του πνεύμονα, επιβεβαιωμένη με μη καθορισμένα μέσα "
72,A15.4,"Φυματίωση των ενδοθωρακικών λεμφαδένων, επιβεβαιωμένη βακτηριολογικά και ιστολογικά"
73,A15.5,"Φυματίωση του λάρυγγα, της τραχείας και των βρόγχων, επιβεβαιωμένη βακτηριολογικά και ιστολογικά"
74,A15.6,"Φυματιώδης πλευρίτιδα, επιβεβαιωμένη βακτηριολογικά και ιστολογικά"
75,A15.7,"Πρωτοπαθής φυματίωση του αναπνευστικού, επιβεβαιωμένη βακτηριολογικά και ιστολογικά"
76,A15.8,"Άλλες μορφές φυματίωσης του αναπνευστικού, επιβεβαιωμένες βακτηριολογικά και ιστολογικά "
