code,block,index,block_index
A16.7,A15-A19,1,200
A41.9,A30-A49,2,201
C32,C30-C39,3,202
C34,C30-C39,4,202
C50,C50-C50,5,203
C61,C60-C63,6,204
C67,C64-C68,7,205
C80,C76-C80,8,206
C81,C81-C96,9,207
C91,C81-C96,10,207
D50,D50-D53,11,208
D50.9,D50-D53,12,208
D55,D55-D59,13,209
D64.9,D60-D64,14,210
D68.5,D65-D69,15,211
D68.6,D65-D69,16,211
D68.9,D65-D69,17,211
D86.8,D80-D89,18,212
E03,E00-E07,19,213
E04,E00-E07,20,213
E05,E00-E07,21,213
E06,E00-E07,22,213
E11,E10-E14,23,214
E11.8,E10-E14,24,214
E13.8,E10-E14,25,214
E13.9,E10-E14,26,214
E66,E65-E68,27,215
E78,E70-E90,28,216
E78.5,E70-E90,29,216
E85,E70-E90,30,216
E87.1,E70-E90,31,216
E87.5,E70-E90,32,216
E87.8,E70-E90,33,216
G45.9,G40-G47,34,217
I01,I00-I02,35,218
I05,I05-I09,36,219
I05.0,I05-I09,37,219
I05.1,I05-I09,38,219
I05.2,I05-I09,39,219
I06.0,I05-I09,40,219
I07.1,I05-I09,41,219
I09.1,I05-I09,42,219
I10,I10-I15,43,220
I11,I10-I15,44,220
I20,I20-I25,45,221
I20.0,I20-I25,46,221
I20.9,I20-I25,47,221
I21,I20-I25,48,221
I21.0,I20-I25,49,221
I21.1,I20-I25,50,221
I21.2,I20-I25,51,221
I21.3,I20-I25,52,221
I21.4,I20-I25,53,221
I21.9,I20-I25,54,221
I22,I20-I25,55,221
I22.0,I20-I25,56,221
I22.1,I20-I25,57,221
I22.8,I20-I25,58,221
I24.8,I20-I25,59,221
I24.9,I20-I25,60,221
I25,I20-I25,61,221
I25.1,I20-I25,62,221
I25.2,I20-I25,63,221
I25.3,I20-I25,64,221
I25.5,I20-I25,65,221
I26,I26-I28,66,222
I26.9,I26-I28,67,222
I27,I26-I28,68,222
I27.0,I26-I28,69,222
I27.2,I26-I28,70,222
I30.9,I30-I52,71,223
I31.3,I30-I52,72,223
I31.8,I30-I52,73,223
I33.0,I30-I52,74,223
